,Unnamed: 0_x,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,Number,Street,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Unnamed: 0_y,plate_id,Name
0,7192124,7684215310,24824MD,NY,COM,04/23/2014,71,VAN,FRIG,T,9540,52390,65490,20150331,109.0,109,109,357738,T401,C,0508P,,Q,F,136-13A,41st Ave,,0.0,408.0,j6,,YYYYYYY,,,WH,,2004.0,,0.0,01 4,71A-Insp Sticker Expired (NYS),,,,0,24824MD,Melissa Ferguson
1,1399831,5070680213,9TOPCLAS,NY,OMT,09/14/2013,7,4DSD,DODGE,V,0,0,0,0,,0,0,0,,,1129P,,,,,12TH AVE.(N/B)@W. 57,TH ST.-MM-4,0.0,1111.0,D,T,,,,BK,,2008.0,,0.0,,FAILURE TO STOP AT RED LIGHT,,,,1,9TOPCLAS,Terri Fox
2,5369188,1356951855,GEL1573,NY,PAS,02/13/2014,71,SUBN,HONDA,P,11710,37090,37110,0,33.0,33,33,938339,0033,0000,0503P,,NY,F,2153,AMSTERDAM AVE,,0.0,408.0,E2,,BBBBBBB,ALL,ALL,,0.0,2006.0,-,0.0,,,,,,2,GEL1573,Diane Johnson
3,6338606,7713806271,EDU1026,NY,PAS,03/20/2014,21,SUBN,TOYOT,T,24440,51090,18450,20151116,103.0,103,103,357098,T402,H,1232P,,Q,F,92-11,168th Pl,,0.0,408.0,d1,,Y  Y,1130A,0100P,GY,,2008.0,,0.0,14 4,21-No Parking (street clean),,,,3,EDU1026,Richard Duncan
4,2823881,7645478044,DXX6460,NY,PAS,11/01/2013,20,4DSD,HONDA,T,54790,0,0,20150205,109.0,109,109,358121,T401,N,1134A,,Q,I,S,Maple Ave,100ft E/of Main St,0.0,408.0,d,,YYYYY,0800A,0600P,MR,,1996.0,,0.0,03-A,20A-No Parking (Non-COM),,,,4,DXX6460,Ian Mitchell PhD
5,4676439,1362296983,EVN1615,NY,PAS,12/04/2013,40,SDN,TOYOT,P,72230,73690,67030,20140222,71.0,71,71,950340,0071,0000,0240P,,K,F,1163,PRESIDENT ST,,0.0,408.0,D,,BBBBBBB,ALL,ALL,GY,0.0,2003.0,-,6.0,,,,,,5,EVN1615,Charles Tate
6,3442581,7808737987,EMP3205,NY,PAS,11/22/2013,21,4DSD,VOLKS,T,10440,0,0,20141107,110.0,110,110,341274,T401,L,1136A,,Q,I,S,47th Ave,25ft W/of 111th St,0.0,408.0,d1,,Y,1130A,0100P,GY,,2012.0,,0.0,N -,21-No Parking (street clean),,,,6,EMP3205,Austin Adams
7,4364995,7512359871,30770JT,NY,COM,01/31/2014,85,DELV,INTER,T,5280,0,0,20140930,72.0,72,72,350410,T802,B,0329A,1130P,K,I,N,3rd Ave,65ft W/of 30th St,0.0,408.0,k5,,,,,WH,,2011.0,,0.0,05 -,85-Storage-3 hour Commercial,,,,7,30770JT,Damon Brown
8,889665,7981587657,10411MA,NY,COM,08/27/2013,21,VAN,FORD,T,36270,10610,10810,20150430,26.0,26,26,351997,T103,A,0824A,,NY,O,274,W 125th St,,0.0,408.0,d1,,Y,0800A,0900A,BK,,2011.0,,0.0,F -,21-No Parking (street clean),,,,8,10411MA,Victoria Roy
9,3744640,1354201978,UGH50V,NJ,PAS,01/08/2014,14,VAN,BMW,P,10410,36530,10775,0,25.0,25,25,935636,0025,0000,0440P,,NY,F,2289,5TH AVE,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,GD,0.0,0.0,-,0.0,,,,,,9,UGH50V,James Flores
10,7884612,1367614170,ENR9516,NY,PAS,05/12/2014,40,SUBN,GMC,P,19310,10110,10010,20150417,25.0,25,25,941090,0025,0000,0528A,,NY,F,351,E 118 ST,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,RD,0.0,2001.0,-,0.0,,,,,,10,ENR9516,Ian Fisher
